,,Start or Timeframe,,,End,,,,,,,,This1,This2,This3
House Book House Davion,71,2931,1,7,,,,"First Prince Joseph Davion II abdicates and is succeeded by his son, Peter Davion.",,,,,,,
Era Report 3052,18,3052,1,7,,,,"Primus Myndo Waterly meets with ilkhan kerensky on satalice and learns that the objective of the Clan invasion is Terra. As a reaction to the problems during the early waves, khan Jorgensson of Clan Ghost bear orders a change in tactics and strategy when dealing with the Inner sphere forces. His merchants are told to find supplies wherever possible, even if it means dealing with Inner sphere merchants.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,45,3069,1,7,,,,"Lyran troops successfully reclaim Mizar, Summer and Alcor.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,11,3069,1,7,,,,"Lyran troops successfully reclaim Mizar, Summer and Alcor.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,1,7,,,,"Citing new evidence, the Capellan government declares that the Word of Blake—not the Federated Suns—were the culprits behind the bombing of Sian. In an astonishing turnaround, Chancellor Sun-Tzu Liao calls for a cease-fire with Hasek’s forces (including those still engaged at New Syrtis), and offers to unite against the common enemy.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,20,3070,1,7,,,,"Citing new evidence, the Capellan government declares that the Word of Blake—not the Federated Suns—were the culprits behind the bombing of Sian. In an astonishing turnaround, Chancellor Sun-Tzu Liao calls for a cease-fire with Hasek’s forces (including those still engaged at New Syrtis), and offers to unite against the common enemy.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3074,1,7,,,,"Two Divisions of Blakist forces— augmented by Kali Liao’s Warrior Houses— launch a surprise assault against Forbidden City on Sian. At the peak of the fighting, however, one of Kali’s Warrior Houses turns on the other, effectively eliminating both from the battle, turning the tide in favor of the defending CCAF forces and forcing the Word of Blake forces into a rout.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,47,3074,1,7,,,,"Two Divisions of Blakist forces— augmented by Kali Liao’s Warrior Houses— launch a surprise assault against Forbidden City on Sian. At the peak of the fighting, however, one of Kali’s Warrior Houses turns on the other, effectively eliminating both from the battle, turning the tide in favor of the defending CCAF forces and forcing the Word of Blake forces into a rout.",,,,,,,
Historical - Wars of the Republic Era,15,3105,1,7,,,,The Victoria War ends.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,45,3069,1,8,3069,1,21,"Jade Falcon forces conquer Black Earth, Blackjack, Blue Hole and Roadside.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,12,3069,1,8,3069,1,21,"Jade Falcon forces conquer Black Earth, Blackjack, Blue Hole and Roadside.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,52,3075,1,8,,,,"Taurian forces launch invasions against Robsart, Horsham, and Brusett. Robsart and Horsham fall quickly, but on Brusett, the newly formed Fourth Taurian Lancers encounter elements of the Hansen’s Roughriders. Despite employing nuclear weapons against the planetary capital and primary spaceport, the Fourth fails to destroy the Roughriders, and are destroyed instead by a Roughriders ambush.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,13,3075,1,8,,,,"Taurian forces launch invasions against Robsart, Horsham, and Brusett. Robsart and Horsham fall quickly, but on Brusett, the newly-formed Fourth Taurian Lancers encounter elements of the Hansen’s Roughriders. Despite employing nuclear weapons against the planetary capital and primary spaceport, the Fourth fails to destroy the Roughriders, and are destroyed instead by a Roughriders ambush.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,59,3079,1,9,,,,"Cilla Amdahl, the remaining leader of the Motstånd, narrowly escapes capture on Tinaca.",,,,,,,
Historical - Fedcom Civil War,12,3030,1,10,,,,"First Prince Hanse Davion and Archon Katrina Steiner declare cease-fire, ending Fourth Succession War",,,,,,,
House Book House Davion,79,3030,1,10,,,,First Prince Hanse Davion and Archon Katrina Steiner call a cease-fre.,,,,,,,
Field Manual - Update,12,3065,1,10,,,,Clan Wolf begins its own assault into the Clan Jade Falcon OZ,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,52,3075,1,10,,,,"Princess-Regent Yvonne Steiner-Davion and Tancred Sandoval-Davion return to New Avalon, re-establishing central authority on the FedSuns capital with a public display and a tour of the wreckage of Avalon City.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,13,3075,1,10,,,,"Princess-Regent Yvonne Steiner-Davion and Tancred Sandoval-Davion return to New Avalon, re-establishing central authority on the FedSuns capital with a public display and a tour of the wreckage of Avalon City.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,55,3077,1,10,,,,"Operation SCOUR, a four-pronged assault into the Protectorate aimed at Terra, begins on the League front with assaults against Acubens and Wasat.",,,,,,,
Historical - Wars of the Republic Era,15,3101,1,10,,,,The Second Combine-Dominion War ends.,,,,,,,
Era Report 3145,20,3137,1,10,,,,"Clan Wolf invades former Republic worlds in anti-spinward Prefectures, including Yed Posterior, Baxter, and Corridan IV.",,,,,,,
Field Manual - 3145,24,3137,1,10,,,,"Clan Wolf invades former Republic worlds in antispinward Prefectures, including Yed Posterior, Baxter, and Corridan IV.",,,,,,,
Historical - Fedcom Civil War,12,3040,1,11,,,,First Prince Hanse Davion ends war of 3039,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3072,1,11,,,,"A Lyran attack force led by Archon Adam Steiner and augmented by elements of Clan Wolf (in-Exile), the Kell Hounds, Wolf’s Dragoons—and even a token Jade Falcon force—assaults and liberates Tharkad. Once Tharkad is liberated, Adam Steiner transfers the Archonship back to Peter Steiner-Davion.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,20,3072,1,11,,,,"A Lyran attack force led by Archon Adam Steiner and augmented by elements of Clan Wolf (in-Exile), the Kell Hounds, Wolf’s Dragoons—and even a token Jade Falcon force—assaults and liberates Tharkad. Once Tharkad is liberated, Adam Steiner transfers the Archonship back to Peter Steiner-Davion.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,50,3073,1,11,,,,The Word of Blake reclaims the capital of New Home.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,25,3073,1,11,,,,The Word of Blake reclaims the capital of New Home.,,,,,,,
Era Report 2750,13,2588,1,12,,,,Battle for New Vandenburg begins with a forty-day orbital bombardment supported by incendiary bombing attacks by SLEF aerospace fighters.,,,,,,,
Era Report 2750,17,2700,1,12,,,,"The 2700 Grand Survey reveals more than 1,000 new planets have been colonized since 2632. The Era of Rapid Expansion and Colonization ends.",,,,,,,
House Book House Davion,79,3029,1,12,,,,The Northwind Highlanders reclaim their homeworld for the Federated Suns.,,,,,,,
Era Report 3052,17,3051,1,12,,,,"Called by the Dragoons, a council of war is held on outreach. Jaime Wolf releases massive amounts of information about the Clans to the Inner sphere. The leaders of the Inner sphere decide to work together to fight this external foe.",,,,,,,
Handbook House Marik,55,3051,1,12,,,,"Jaime Wolf convenes a conference of Successor State leaders on Outreach, intending to unite them against the Clans. Prince Hanse Davion blackmails Thomas Marik into providing material aid for the war e?ort. [29 October] The Clans resume their attack on the Inner Sphere.",,,,,,,
Historical - Fedcom Civil War,13,3051,1,12,,,,The leaders of the Inner Sphere convene on Outreach at the invitation of Colonel Jaime Wolf,,,,,,,
House Book House Davion,79,3051,1,12,,,,Leaders of the Inner Sphere convene on Outreach.,,,,,,,
Field Manual - Update,12,3065,1,12,,,,"Robert Kelswa-Steiner marries his fiancé of two years, Hermione Aten of Skye",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3081,1,12,,,,"Princess-Regent Yvonne Steiner-Davion announces the ceding of several additional FedSuns worlds to the Republic of the Sphere for an additional buffer zone. Similar declarations in the coming days acknowledge similar deals to incorporate former Lyran, Combine, and Free Worlds League planets into the Republic.",,,,,,,
Era Report 3145,24,3145,1,12,,,,Capellans launch assault on New Syrtis.,,,,,,,
Field Manual - 3145,25,3145,1,12,,,,Capellans launch assault on New Syrtis.,,,,,,,
Historical - Wars of the Republic Era,16,3145,1,12,,,,The Capellan Confederation assaults New Syrtis.,,,,,,,
Era Report 3062,13,3055,1,13,,,,"A Star of the Third Jaguar Cavaliers is killed when their barracks is blown up by the Kat Killer 5 group. In retaliation, the Smoke Jaguars annihilate the town of Kimota on Hyner. The Kat Killers will be killed in February.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,1,13,,,,"Clan Jade Falcon attacks Great X, but the fortified world quickly becomes a quagmire.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,11,3071,1,13,,,,"Clan Jade Falcon attacks Great X, but the fortified world quickly becomes a quagmire.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3072,1,14,3072,1,31,"Clan Wolf pushes the Hell’s Horses off Planting, Mozirje, Feltre, and Unzmarkt before accepting cease-fire terms from the Horses’ Khan. Meanwhile, Clan Ice Hellion loses Persistence, Winfield, and Romulus to the Falcons. Also on this date, the Combine Warship Siriwan is destroyed by nuclear weapons over Algedi after issuing a final ultimatum to the Azami from Kanrei Minamoto and bombarding two Azami cities.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,20,3072,1,14,3072,1,31,"Clan Wolf pushes the Hell’s Horses off Planting, Mozirje, Feltre, and Unzmarkt before accepting cease-fire terms from the Horses’ Khan. Meanwhile, Clan Ice Hellion loses Persistence, Winfield, and Romulus to the Falcons. Also on this date, the Combine Warship Siriwan is destroyed by nuclear weapons over Algedi after issuing a final ultimatum to the Azami from Kanrei Minamoto and bombarding two Azami cities.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,54,3076,1,14,,,,"In connection with the November bombing of the Association Council, Captain Alicia Carmichael of the NAM is arrested and charged with treason against the Niops Association.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,19,3076,1,14,,,,"In connection with the November bombing of the Association Council, Captain Alicia Carmichael of the NAM is arrested and charged with treason against the Niops Association.",,,,,,,
Era Digest: Dark Age,10,3133,1,14,,,,Bannson’s Raiders raid New Rhodes III and force the Swordsworn to retreat.,,,,,,,
Era Report 2750,17,2703,1,15,,,,Elise Marik succeeds Gerald Marik as the Free Worlds League’s Council Lord. She deems Gerald’s death suspicious and demands a full investigation. This begins a twenty-five year effort to purge subversive elements.,,,,,,,
Historical - Operation Klondike,101,2767,1,15,,,,Stefan Amaris declares himself First Lord of the Star League in a communiqué to the Star League Council,,,,,,,
Historical - Liberation of Terra II,124,2779,1,15,,,,Invasion of North America across the Bering Straits,,,,,,,
Era Report 3052,13,3050,1,15,,,,"While on board the Dire Wolf, Anastasius Focht and Phelan kell—now bondsman of the Wolves—meet.",,,,,,,
Era Report 3062,27,3062,1,15,,,,"The Steel Vipers arrive back in Clan space, and immediately begin a campaign to consolidate their holdings there. Many of the Homeworld Clans eye their return warily.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,47,3070,1,15,3070,1,30,"As Wolf Clan troops cut deeper into Lyran space—claiming Borghese, Ft. Loudon, Kelenfold and Tomans—the Jade Falcon incursion angles toward Arc-Royal.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3072,20,3070,1,15,3070,1,30,"As Wolf Clan troops cut deeper into Lyran space— claiming Borghese, Ft. Louden, Kelenfold and Tomans—the Jade Falcon incursion angles toward Arc-Royal.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,57,3078,1,15,,,,Duchess Therese Brett-Marik demands that Archon Adam Steiner intervene in the ongoing hostilities between Buena Archonette and the worlds near the Duchy of Tamarind. The crisis is now being cited as a key reason that Tamarind forces have not contributed to the Coalition.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,60,3081,1,15,,,,"Thomas and Sherryl Halas announce the engagement of their daughter Jessica to Philip Hughes, scion of the Irian Hughes family.",,,,,,,
Era Report 3145,19,3136,1,15,,,,Republic Standing Guard units hold Poznan against Capellan attack.,,,,,,,
Field Manual - 3145,23,3136,1,15,,,,Republic Standing Guard units hold Poznan against Capellan attack.,,,,,,,
Era Report 3145,21,3140,1,15,,,,Clan Hell’s Horses allies with Malvina Hazen.,,,,,,,
Era Report 2750,12,2582,1,17,,,,General Amalthia Kincaid replaces General Wexworth as commander of the SLEF forces in the Taurian ROC.,,,,,,,
Field Manual - Update,9,3062,1,17,,,,Word of Blake gains control of Titan Shipyards,,,,,,,
Era Report 3052,18,3052,1,18,,,,Hohiro kurita is trapped behind enemy lines on Teniente and begins guerrilla warfare.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3074,1,18,,,,"A Regulan force led by Titus Cameron-Jones raids Irian, inflicting heavy damage and receiving heated condemnation from Atreus.",,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,47,3074,1,18,,,,"A Regulan force led by Titus Cameron-Jones raids Irian, inflicting heavy damage and receiving heated condemnation from Atreus.",,,,,,,
House Book House Davion,79,3040,1,19,,,,Exeter Accords signed; The War of 3039 ends.,,,,,,,
Field Manual - Update,10,3063,1,19,,,,Julius O’Reilly invades the Illyrian Palatinate,,,,,,,
Historical - Second Succession War,82,2859,1,20,,,,"Elizabeth Steiner assumes the Archonship of the Lyran Commonwealth, disbanding the Triumvirate Regency.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,54,3076,1,20,,,,Stone’s allied coalition finally ousts the last of the Word’s Eleventh Division from Galatea.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - Terra,19,3076,1,20,,,,Stone’s allied coalition finally ousts the last of the Word’s Eleventh Division from Galatea.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,55,3077,1,20,,,,"Clan Wolf hits Imbros III, quickly clearing the weak militia force. The attack is not part of the SCOUR objectives.",,,,,,,
Era Report 3145,23,3143,1,20,,,,DCMS assaults Katana Tormark’s defenses on Piedmont and Chichibu.,,,,,,,
Field Manual - 3145,24,3143,1,20,,,,DCMS assaults Katana Tormark’s defenses on Piedmont and Chichibu.,,,,,,,
Jihad Plot Sourcebook - Blake Ascending,173,3068,1,21,,,,The Word of Blake Warships Deliverance and Blake’s Sword—last reported at Tharkad—appear at Tukayyid to attack the Com Guard forces headquartered there. The Com Guard Warships Hammerstrike and Blake’s Vengeance are destroyed.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,43,3068,1,21,,,,"The Word of Blake Warships Deliverance and the Blake’s Sword—last reported at Tharkad, appear at Tukayyid to attack the Com Guard forces headquartered there. The Com Guard Warships Hammerstrike and Blake’s Vengeance are destroyed.",,,,,,,
Jihad Plot Sourcebook - Final Reckoning,48,3071,1,21,,,,The Word of Blake attacks Robinson.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,11,3071,1,21,,,,The Word of Blake attacks Robinson.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,49,3072,1,21,,,,ComStar’s military forces begin to leave the Rasalhague Republic.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,20,3072,1,21,,,,ComStar’s military forces begin to leave the Rasalhague Republic.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,51,3074,1,21,,,,A second delegation of Arkab leaders agrees to make one more attempt to meet with Minamoto to settle the Azami Crisis.,,,,,,,
Jihad Plot Sourcebook - Jihad Hot Spots - 3076,47,3074,1,21,,,,A second delegation of Arkab leaders agrees to make one more attempt to meet with Minamoto to settle the Azami Crisis.,,,,,,,
Jihad Plot Sourcebook - Final Reckoning,54,3076,1,21,,,,The Kaumberg Archonette puts Lindon Ashley and a handful of his key lieutenants on trial for crimes against the Kaumberg Archonette and the Lyran Alliance.,,,,,,,
